StateID,StateName,PlanID,AreaCode,InternationalPlan,VoiceMailPlan,NumberVMailMessages,DayUsageID,TotalDayMinutes,TotalDayCalls,TotalDayCharge,EveUsageID,TotalEveMinutes,TotalEveCalls,TotalEveCharge,NightUsageID,TotalNightMinutes,TotalNightCalls,TotalNightCharge,IntlUsageID,TotalIntlMinutes,TotalIntlCalls,TotalIntlCharge,CustomerServiceCalls,ChurnStatus
1,KS,1,415,No,Yes,25,1,265.1,110,45.07,1,197.4,99,16.78,1,244.7,91,11.01,1,10.0,3,2.7,1,False
2,OH,2,415,No,Yes,26,2,161.6,123,27.47,2,195.5,103,16.62,2,254.4,103,11.45,2,13.7,3,3.7,1,False
3,NJ,3,415,No,No,0,3,243.4,114,41.38,3,121.2,110,10.3,3,162.6,104,7.32,3,12.2,5,3.29,0,False
4,OH,4,408,Yes,No,0,4,299.4,71,50.9,4,61.9,88,5.26,4,196.9,89,8.86,4,6.6,7,1.78,2,False
5,OK,5,415,Yes,No,0,5,166.7,113,28.34,5,148.3,122,12.61,5,186.9,121,8.41,5,10.1,3,2.73,3,False
6,AL,6,510,Yes,No,0,6,223.4,98,37.98,6,220.6,101,18.75,6,203.9,118,9.18,6,6.3,6,1.7,0,False
7,MA,7,510,No,Yes,24,7,218.2,88,37.09,7,348.5,108,29.62,7,212.6,118,9.57,7,7.5,7,2.03,3,False
8,MO,8,415,Yes,No,0,8,157.0,79,26.69,8,103.1,94,8.76,8,211.8,96,9.53,8,7.1,6,1.92,0,False
9,WV,9,415,Yes,Yes,37,9,258.6,84,43.96,9,222.0,111,18.87,9,326.4,97,14.69,9,11.2,5,3.02,0,False
10,RI,10,415,No,No,0,10,187.7,127,31.91,10,163.4,148,13.89,10,196.0,94,8.82,10,9.1,5,2.46,0,False
11,IA,11,408,No,No,0,11,128.8,96,21.9,11,104.9,71,8.92,11,141.1,128,6.35,11,11.2,2,3.02,1,False
12,MT,12,510,No,No,0,12,156.6,88,26.62,12,247.6,75,21.05,12,192.3,115,8.65,12,12.3,5,3.32,3,False
13,IA,13,415,No,No,0,13,120.7,70,20.52,13,307.2,76,26.11,13,203.0,99,9.14,13,13.1,6,3.54,4,False
14,ID,14,408,No,Yes,27,14,196.4,139,33.39,14,280.9,90,23.88,14,89.3,75,4.02,14,13.8,4,3.73,1,False
15,VT,15,510,No,No,0,15,190.7,114,32.42,15,218.2,111,18.55,15,129.6,121,5.83,15,8.1,3,2.19,3,False
16,VA,16,510,No,Yes,33,16,189.7,66,32.25,16,212.8,65,18.09,16,165.7,108,7.46,16,10.0,5,2.7,1,False
17,TX,17,415,No,No,0,17,224.4,90,38.15,17,159.5,88,13.56,17,192.8,74,8.68,17,13.0,2,3.51,1,False
